name,rank
nikola jokic,0
victor wembanyama,0
luka doncic,0
shai gilgeousalexander,0
joel embiid,1
jayson tatum,1
anthony davis,1
tyrese haliburton,1
trae young,1
giannis antetokounmpo,2
stephen curry,2
anthony edwards,2
domantas sabonis,2
donovan mitchell,2
devin booker,3
james harden,3
damian lillard,3
kevin durant,3
jalen brunson,3
kyrie irving,4
lamelo ball,4
lebron james,4
karlanthony towns,4
scottie barnes,4
chet holmgren,5
paul george,5
lauri markkanen,5
tyrese maxey,5
deaaron fox,5
fred vanvleet,6
dejounte murray,6
ja morant,6
cade cunningham,6
alperen sengun,6
bam adebayo,7
kawhi leonard,7
desmond bane,7
demar derozan,7
evan mobley,7
jaren jackson,8
immanuel quickley,8
jalen williams,8
jimmy butler,8
paolo banchero,8
jalen johnson,9
derrick white,9
franz wagner,9
jaylen brown,9
jamal murray,9
pascal siakam,10
darius garland,10
mikal bridges,10
jarrett allen,10
myles turner,10
nikola vucevic,11
zion williamson,11
miles bridges,11
josh giddey,11
tobias harris,11
cam thomas,12
jalen duren,12
deandre ayton,12
zach lavine,12
dangelo russell,12
brandon miller,13
julius randle,13
tyler herro,13
rudy gobert,13
anfernee simons,13
austin reaves,14
bradley beal,14
jrue holiday,14
jordan poole,14
brandon ingram,14
isaiah hartenstein,15
bogdan bogdanovic,15
kyle kuzma,15
jabari smith,15
michael porter,15
coby white,16
keegan murray,16
og anunoby,16
nic claxton,16
cj mccollum,16
jalen suggs,17
jonas valanciunas,17
devin vassell,17
ivica zubac,17
collin sexton,17
jonathan kuminga,18
alex caruso,18
terry rozier,18
herbert jones,18
jalen green,18
tyus jones,19
draymond green,19
jakob poeltl,19
khris middleton,19
naz reid,19
jusuf nurkic,20
amen thompson,20
brandin podziemski,20
brook lopez,20
mark williams,20
klay thompson,21
mike conley,21
walker kessler,21
keyonte george,21
onyeka okongwu,21
rj barrett,22
donte divincenzo,22
marcus smart,22
chris paul,22
john collins,22
dereck lively,23
daniel gafford,23
bobby portis,23
josh hart,23
malik monk,23
trey murphy,24
buddy hield,24
dennis schroder,24
cameron johnson,24
jerami grant,24
deni avdija,25
kristaps porzingis,25
norman powell,25
trayce jacksondavis,25
pj washington,25
scoot henderson,26
kentavious caldwellpope,26
clint capela,26
grayson allen,26
aaron gordon,26
shaedon sharpe,27
jadeney,27
jeremy sochan,27
max strus,27
ausar thompson,27
tj mcconnell,28
deanthony melton,28
gary trent,28
aaron nesmith,28
kelly olynyk,28
jaime jaquez,29
wendell carter,29
kelly oubre,29
andrew nembhard,29
al horford,29
zach edey,30
tari eason,30
russell westbrook,30
keldon johnson,30
rui hachimura,30
taylor hendricks,31
andrew wiggins,31
malcolm brogdon,31
alex sarr,31
caris levert,31
keon ellis,32
ayo dosunmu,32
tre jones,32
jonathan isaac,32
jordan clarkson,32
jaden mcdaniels,33
terance mann,33
nick richards,33
dyson daniels,33
bennedict mathurin,33
payton pritchard,34
patrick williams,34
caleb martin,34
deandre hunter,34
luguentz dort,34
royce oneale,35
kevin porter,35
reed sheppard,35
ben simmons,35
harrison barnes,35
jalen smith,36
vince williams,36
corey kispert,36
brandon clarke,36
cole anthony,36
obi toppin,37
nickeil alexanderwalker,37
duncan robinson,37
noah clowney,37
zaccharie risacher,37
bojan bogdanovic,38
kyle anderson,38
nikola jovic,38
christian braun,38
gradey dick,38
isaiah jackson,39
kevin huerter,39
dillon brooks,39
andre drummond,39
mitchell robinson,39
miles mcbride,40
spencer dinwiddie,40
josh green,40
malik beasley,40
bruce brown,40
kyle lowry,41
cason wallace,41
rob dillingham,41
marvin bagley,41
daniel theis,41
grant williams,42
kris dunn,42
zach collins,42
josh richardson,42
dorian finneysmith,42
stephon castle,43
jarred vanderbilt,43
donovan clingan,43
sam hauser,43
delon wright,43
isaiah stewart,44
luke kennard,44
matisse thybulle,44
paul reed,44
derrick jones,44
bilal coulibaly,45
robert williams,45
tre mann,45
carlton carrington,45
larry nance,45
julian strawther,46
karlo matkovic,46
pat connaughton,46
moritz wagner,46
isaac okoro,46
eric gordon,47
dalano banton,47
taurean prince,47
ron holland,47
nicolas batum,47
kelel ware,48
reggie jackson,48
moses moody,48
isaiah joe,48
bones hyland,48
tim hardaway,49
naji marshall,49
mason plumlee,49
georges niang,49
brice sensabaugh,49
peyton watson,50
jarace walker,50
matas buzelis,50
cam whitmore,50
mo bamba,50
jaden hardy,51
saddiq bey,51
aaron wiggins,51
lonzo ball,51
dalton knecht,51
jabari walker,52
davion mitchell,52
santi aldama,52
simone fontecchio,52
precious achiuwa,52
gg jackson,53
christian wood,53
marcus sasser,53
tidjane salaun,53
dario saric,53
dayron sharpe,54
quentin grimes,54
scotty pippen,54
gabe vincent,54
luke kornet,54
jaesean tate,55
anthony black,55
julian champagnie,55
marcus morris,55
maxi kleber,55
nassir little,56
monte morris,56
aj griffin,56
cam reddish,56
duop reath,56
steven adams,57
alec burks,57
jose alvarado,57
trey lyles,57
amir coffey,57
neemias queta,58
vasilije micic,58
sam merrill,58
toumani camara,58
drew eubanks,58
cameron payne,59
ben sheppard,59
xavier tillman,59
jaylin williams,59
ziaire williams,59
dean wade,60
malaki branham,60
matas buzelisdup,60
goga bitadze,60
jaxson hayes,60
cody martin,61
john konchar,61
jake laravia,61
max christie,61
ochai agbaji,61
damion lee,62
yves missi,62
cody williams,62
shake milton,62
jordan hawkins,62
kobe bufkin,63
haywood highsmith,63
joe ingles,63
kevin love,63
kenrich williams,63
dante exum,64
guerschon yabusele,64
gary harris,64
gary payton,64
torrey craig,64
kevon looney,65
chris boucher,65
isaiah collier,65
josh okogie,65
seth curry,65
jordan mclaughlin,66
aj green,66
jonathan mogbo,66
tristan da silva,66
johnny furphy,66
andre jackson,67
craig porter,67
josh minott,67
